mm_gray_scott.nprocs,mm_gray_scott.L,pymonitor.num_nodes,pymonitor.dir,mm_gray_scott.avg_cpu,mm_gray_scott.avg_mem,mm_gray_scott.peak_mem,mm_gray_scott.runtime
24,1024,1,$ITER_DIR,34.838361501693726,68.87714285714287,74.2,56.58571428571429
24,1024,1,$ITER_DIR,35.6014723777771,68.59722222222226,73.9,56.9888888888889
24,1024,1,$ITER_DIR,34.774333000183105,68.60857142857147,73.9,56.72285714285715
48,1280,2,$ITER_DIR,70.4118025302887,55.93661971830992,72.2,65.191549295774664
48,1280,2,$ITER_DIR,66.81809258460999,55.15597014925361,72.3,69.200746268656744
48,1280,2,$ITER_DIR,44.31916069984436,54.65999999999993,72.2,72.22444444444445
96,1536,4,$ITER_DIR,65.00668454170227,42.69653846153862,63.0,81.99653846153849
96,1536,4,$ITER_DIR,74.39687275886536,42.539130434782784,63.1,80.30434782608698
96,1536,4,$ITER_DIR,75.22831654548645,42.40460526315809,63.1,79.362500000000004
192,1792,8,$ITER_DIR,112.9155740737915,37.26367663344406,51.0,93.603211517164844
192,1792,8,$ITER_DIR,89.48016405105591,38.63941093969128,51.0,97.1928471248245
192,1792,8,$ITER_DIR,97.08503866195679,38.278988326847966,51.0,95.505188067444706
384,2048,15,$ITER_DIR,95.6676812171936,25.542229965156505,74.4,108.559163763066465
384,2048,15,$ITER_DIR,88.32568502426147,25.21630353117932,74.4,105.20691209616852
384,2048,15,$ITER_DIR,99.19995212554932,24.68561827956942,74.5,111.51915322580673
